"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.628782717E0,-1.247262955E-2,7.751464844E-3,-1.100182533E-2
1.633560217E0,-2.235174179E-2,1.855850220E-3,-1.595193148E-2
1.638337665E0,-2.253282070E-2,7.888793945E-3,-2.610152960E-2
1.643115113E0,-4.525518417E-2,1.445770264E-2,-4.087126255E-2
1.647892613E0,-4.108369350E-2,8.521080017E-3,-6.029164791E-2
1.652670061E0,-5.532467365E-2,-6.257057190E-3,-6.419044733E-2
1.657447509E0,-4.985547066E-2,-7.254600525E-3,-6.994903088E-2
1.662225009E0,-6.282830238E-2,-1.121520996E-3,-6.088387966E-2
1.667002457E0,-3.594708443E-2,-5.112648010E-3,-5.559599400E-2
1.671779905E0,-4.131817818E-2,-1.933097839E-3,-4.756790400E-2
1.676557405E0,-2.177274227E-2,1.486206055E-2,-2.724301815E-2
1.681334853E0,-2.128446102E-2,6.030082703E-3,7.700324059E-3
1.686112301E0,-4.811286926E-3,-2.140998840E-3,2.635318041E-2
1.690889801E0,-2.174675465E-2,2.794265747E-3,4.665130377E-2
1.695667249E0,-3.079879284E-2,-3.582954407E-3,5.085164309E-2
1.700444697E0,-2.616119385E-2,-1.036643982E-3,6.119018793E-2
1.705222144E0,-5.184447765E-2,1.464843750E-3,6.928199530E-2
1.709999644E0,-4.707252979E-2,1.104640961E-2,5.495661497E-2
1.714777092E0,-4.877209663E-2,8.099555969E-3,6.277829409E-2
1.719554540E0,-6.243133545E-2,6.922721863E-3,5.764102936E-2
1.724332040E0,-5.577361584E-2,5.752563477E-3,4.079717398E-2
1.729109488E0,-4.741024971E-2,-1.439380646E-2,2.645629644E-2
1.733886936E0,-6.640958786E-2,-1.182937622E-2,5.697786808E-3
1.738664436E0,-3.189289570E-2,-9.289741516E-3,-1.854002476E-3
1.743441884E0,-2.319371700E-2,-1.922416687E-2,-4.682123661E-2
1.748219332E0,-1.221275330E-2,-3.204250336E-2,-5.881714821E-2
1.752996832E0,-3.048098087E-2,-1.984214783E-2,-8.508980274E-2
1.757774280E0,-2.478730679E-2,-6.027221680E-4,-1.112418771E-1
1.762551728E0,-3.458750248E-2,-1.771163940E-2,-1.158374548E-1
